	lmbda	acceptance_ratio	scheme	error
0	1	1.0	proposal	0.0
1	2	0.9999103139013452	proposal	0.00018023096273445116
2	3	0.9997410415200025	proposal	0.0003105442722131091
3	4	0.9992226205025629	proposal	0.0005838877633579376
4	5	0.9984034596720127	proposal	0.0008375013645520735
5	6	0.993628093684886	proposal	0.004606708489954148
6	7	0.9831036051596403	proposal	0.011575539302383087
7	8	0.8960088837685732	proposal	0.014810645053611293
8	1	1.0	greedy_sc	0.0
9	2	0.9927112345473119	greedy_sc	0.014232774835438722
10	3	0.9830757580803972	greedy_sc	0.024757480795732256
11	4	0.9762046770504085	greedy_sc	0.031739398072496705
12	5	0.9686186095342745	greedy_sc	0.03729844013349848
13	6	0.959433753210702	greedy_sc	0.041213981005970624
14	7	0.9498092698382805	greedy_sc	0.04335412090752333
15	8	0.8649911145723658	greedy_sc	0.040063418158362674
16	1	0.998820073924718	ilp	0.0011850836775988416
17	2	0.9882189857038206	ilp	0.006916945637335359
18	3	0.8587840490752957	ilp	0.031484092979469636
19	4	0.6653451719431936	ilp	0.032115031148731155
20	5	0.5417249206367645	ilp	0.02564346069172263
21	6	0.44989410351730263	ilp	0.020846460159588298
22	7	0.3870231230309957	ilp	0.018808001298732613
23	8	0.33718289812611274	ilp	0.015813541175948465
